gene,Large_D(>10bps),Mid_D(3-10bps),Micro_D(<3bps),Direct(or_noDSB),Insertion
ERCC6L2,-0.3516483516483517,-0.08461538461538462,-0.026373626373626374,0.5296703296703297,0.007692307692307693
HMGB1,-0.09784735812133072,-0.24266144814090018,-0.0675146771037182,0.5518590998043053,0.040117416829745595
PARP3,-0.12382739212007504,-0.30393996247654786,-0.08442776735459662,0.4540337711069418,0.03377110694183865
HMGA2,-0.07292954264524104,-0.2892459826946848,-0.06056860321384425,0.5500618046971569,0.027194066749072928
MLH1,-0.08321579689703808,-0.3145275035260931,-0.07334273624823695,0.4978843441466855,0.031029619181946404
NBN,-0.050808314087759814,-0.2979214780600462,-0.07159353348729793,0.5484988452655889,0.03117782909930716
SETD2,-0.0736196319018405,-0.23517382413087934,-0.07975460122699386,0.5725971370143149,0.03885480572597137
SLX4,-0.10424242424242425,-0.2678787878787879,-0.07272727272727272,0.509090909090909,0.04606060606060606
XRCC1,-0.08863920099875156,-0.2983770287141074,-0.08239700374531835,0.5043695380774033,0.026217228464419477
LIG4,-0.12727272727272726,-0.14825174825174825,-0.02937062937062937,0.6489510489510489,0.046153846153846156
INO80,-0.1348314606741573,-0.33146067415730335,-0.10112359550561797,0.4157303370786517,0.016853932584269662
APEX2,-0.08533333333333333,-0.31022222222222223,-0.07377777777777778,0.5031111111111111,0.027555555555555555
PARP2,-0.10982211910286156,-0.2614075792730085,-0.06728538283062645,0.5328692962103635,0.028615622583139984
EXO5,-0.1001669449081803,-0.27212020033388984,-0.09015025041736227,0.5125208681135225,0.025041736227045076
BRCA2,-0.05185185185185185,-0.34074074074074073,-0.05185185185185185,0.5444444444444444,0.011111111111111112
C9orf142,-0.10378510378510379,-0.27594627594627597,-0.05616605616605617,0.5445665445665445,0.019536019536019536
XRCC4,-0.09278350515463918,-0.2920962199312715,-0.054982817869415807,0.5292096219931272,0.030927835051546393
INO80B,-0.10256410256410256,-0.28402366863905326,-0.0631163708086785,0.5305719921104537,0.01972386587771203
UVRAG,-0.09935004642525534,-0.265552460538533,-0.06870937790157845,0.5348189415041783,0.031569173630454965
DCLRE1B,-0.0951219512195122,-0.2967479674796748,-0.07642276422764227,0.5032520325203252,0.028455284552845527
DDB2,-0.1063063063063063,-0.26126126126126126,-0.0918918918918919,0.5009009009009009,0.03963963963963964
MSH5,-0.08869179600886919,-0.22505543237250555,-0.06873614190687362,0.6008869179600886,0.01662971175166297
PARP1,-0.10270880361173815,-0.28893905191873587,-0.06659142212189616,0.5146726862302483,0.02708803611738149
RNF8,-0.0855106888361045,-0.2755344418052256,-0.07363420427553444,0.5415676959619953,0.023752969121140142
XRCC2,-0.0898876404494382,-0.2731201382886776,-0.07346585998271392,0.5419187554019015,0.021607605877268798
LIG3,-0.10759493670886076,-0.28270042194092826,-0.06962025316455696,0.5042194092827004,0.035864978902953586
MRE11A,-0.10490693739424704,-0.31810490693739424,-0.05922165820642978,0.4805414551607445,0.03722504230118443
YY1,-0.10964467005076142,-0.2751269035532995,-0.0649746192893401,0.5279187817258884,0.02233502538071066
POLQ,-0.07370184254606366,-0.34338358458961477,-0.08040201005025126,0.4807370184254606,0.021775544388609715
DCLRE1A,-0.09057071960297766,-0.2853598014888337,-0.08436724565756824,0.5173697270471465,0.022332506203473945
H2AFX,-0.08027079303675048,-0.2369439071566731,-0.09864603481624758,0.5541586073500967,0.029980657640232108
MSH6,-0.08363636363636363,-0.32,-0.08,0.49818181818181817,0.01818181818181818
XPC,-0.08774373259052924,-0.27158774373259054,-0.04456824512534819,0.575208913649025,0.020891364902506964
POLD2,-0.10610932475884244,-0.27813504823151125,-0.0819935691318328,0.4903536977491961,0.04340836012861737
XRCC6BP1,-0.07173601147776183,-0.2467718794835007,-0.0746054519368723,0.5925394548063128,0.014347202295552367
INO80D,-0.10153256704980843,-0.2796934865900383,-0.08237547892720307,0.49808429118773945,0.038314176245210725
PALB2,-0.09293680297397769,-0.2936802973977695,-0.0724907063197026,0.5092936802973977,0.031598513011152414
POLD1,-0.05223880597014925,-0.3358208955223881,-0.09950248756218906,0.4651741293532338,0.0472636815920398
DOT1L,-0.0898876404494382,-0.2752808988764045,-0.08426966292134831,0.5280898876404494,0.02247191011235955
NHEJ1,-0.19096509240246407,-0.2053388090349076,-0.055441478439425054,0.5297741273100616,0.018480492813141684
ATM,-0.0407725321888412,-0.2532188841201717,-0.09227467811158799,0.5879828326180258,0.02575107296137339
EXO1,-0.06789413118527042,-0.2681242807825086,-0.08170310701956271,0.5581127733026467,0.024165707710011506
MCM2,-0.0622568093385214,-0.2723735408560311,-0.05058365758754864,0.5642023346303502,0.05058365758754864
POLH,-0.10833333333333334,-0.22916666666666666,-0.058333333333333334,0.55,0.05416666666666667
SAMHD1,-0.07627118644067797,-0.33220338983050846,-0.0576271186440678,0.49491525423728816,0.03898305084745763
TOPBP1,-0.11458333333333333,-0.2951388888888889,-0.0763888888888889,0.4756944444444444,0.03819444444444445
TP53,-0.08739076154806492,-0.299625468164794,-0.08739076154806492,0.48314606741573035,0.04244694132334582
ATR,-0.08312342569269521,-0.2795969773299748,-0.07556675062972293,0.5314861460957179,0.030226700251889168
FAM35A,-0.07096774193548387,-0.3,-0.05967741935483871,0.5516129032258065,0.017741935483870968
GEN1,-0.06761006289308176,-0.2672955974842767,-0.06289308176100629,0.5770440251572327,0.025157232704402517
INO80C,-0.07582938388625593,-0.3341232227488152,-0.06398104265402843,0.5071090047393365,0.018957345971563982
MLH3,-0.11928934010152284,-0.24873096446700507,-0.0583756345177665,0.5634517766497462,0.01015228426395939
RAD21,-0.03571428571428571,-0.32142857142857145,-0.07142857142857142,0.5357142857142857,0.03571428571428571
XRCC3,-0.08386277001270648,-0.26937738246505716,-0.060991105463786534,0.5603557814485387,0.025412960609911054
APLF,-0.09962756052141528,-0.28584729981378026,-0.056797020484171325,0.5400372439478585,0.017690875232774673
RNF168,-0.05985915492957746,-0.2711267605633803,-0.11267605633802817,0.5211267605633803,0.035211267605633804
TP53BP1,-0.08628318584070796,-0.3008849557522124,-0.05752212389380531,0.5353982300884956,0.01991150442477876
XRCC5,-0.06629834254143646,-0.3397790055248619,-0.08287292817679558,0.47790055248618785,0.03314917127071823
XRCC6,-0.13141025641025642,-0.391025641025641,-0.07051282051282051,0.38782051282051283,0.019230769230769232
APEX1,-0.07086614173228346,-0.2874015748031496,-0.07611548556430446,0.5446194225721784,0.02099737532808399
ATRX,-0.07262569832402235,-0.22905027932960895,-0.09497206703910614,0.5977653631284916,0.00558659217877095
BRCA1,-0.06787330316742081,-0.3393665158371041,-0.04524886877828054,0.5203619909502263,0.027149321266968326
NIPBL,-0.08856088560885608,-0.36900369003690037,-0.08487084870848709,0.45018450184501846,0.007380073800738007
POLE,-0.0625,-0.3611111111111111,-0.0625,0.4861111111111111,0.027777777777777776
POLL,-0.0990990990990991,-0.3355855855855856,-0.0518018018018018,0.5078828828828829,0.00563063063063063
SIRT1,-0.12164948453608247,-0.2948453608247423,-0.061855670103092786,0.5092783505154639,0.012371134020618556
SMC1A,-0.05128205128205128,-0.38461538461538464,-0.10256410256410256,0.46153846153846156,0.0
